title,smdName,organizationName,sourceType,sourceUrl,icarUrl,keywords,language
"चना की उन्नत प्रजाति : PHULE G 405 (विक्रांत) (Improved Chickpea Variety: MPKV, Rahuri)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=5O8MpLa7kKQ,https://krishi.icar.gov.in/video/watch/3832,"Chickpea, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : PBG 7 (Improved Variety of Chickpea): PAU, Ludhiana",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=c7G7JKx7OiU,https://krishi.icar.gov.in/video/watch/3831,"Chickpea, Pulses, Variety",Hindi
चना की उन्नत प्रजाति : पन्त चना 5 ( PG 5) (improved Variety of Chickpea : Pant Chan 5),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=KcSOi1BPON0,https://krishi.icar.gov.in/video/watch/3830,"Chickpea, Pulses, Variety",Hindi
चना की उन्नत प्रजाति : पन्त चना 4 (PG 4) (Improved Variety of Chick Pea : Pant Chana 4),Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=P-1AyKTo4lg,https://krishi.icar.gov.in/video/watch/3829,"Chick Pea, Pulses, Variety",Hindi
Mithun: The pride of Nagaland,Animal Science,ICAR-National Research Centre on Mithun,youtube,https://www.youtube.com/watch?v=J_Qf-Yq1MCY,https://krishi.icar.gov.in/video/watch/3828,"Mithun, Livestock",English
"ICAR-NDRI-Technology no. 05 (Pregnant Cow, Colostrum and Calf)",Animal Science,ICAR-National Dairy Research Institute,youtube,https://www.youtube.com/watch?v=pLoevFz8Q6o,https://krishi.icar.gov.in/video/watch/3827,"Cow, Colostrum, Calf, Dairy, Livestock",English
ICAR-NDRI-Technology no. 06 (Milk Somatic cells importance),Animal Science,ICAR-National Dairy Research Institute,youtube,https://www.youtube.com/watch?v=WAktH7uwA8A,https://krishi.icar.gov.in/video/watch/3826,"Somatic cells, Milk, Dairy",English
ICAR-NDRI-Technology no. 02 (Cloning Technique in buffalo),Animal Science,ICAR-National Dairy Research Institute,youtube,https://www.youtube.com/watch?v=fKYHCFHWcRw,https://krishi.icar.gov.in/video/watch/3825,"Cloning, Buffalo, Livestock, Dairy",Hindi
ICAR-NDRI-Technology no. 01 (Ovam Pickup Technique),Animal Science,ICAR-National Dairy Research Institute,youtube,https://www.youtube.com/watch?v=GF4r5POXeXQ,https://krishi.icar.gov.in/video/watch/3824,Ovum Pickup,Hindi
"जैविक खाद (Organic Fertilizer : Dr Ashutosh, NDRI, Karnal) Anndata : News Madhya Pradesh",Animal Science,ICAR-National Dairy Research Institute,youtube,https://www.youtube.com/watch?v=VKHLgA9lcGA,https://krishi.icar.gov.in/video/watch/3823,Organic Fertilizer,Hindi
राष्ट्रीय डेरी अनुसंधान संस्थान करनाल के वैज्ञानिकों ने तैयार की विशेष जैविक खाद। (DD Haryana) Oragnic Fertilizer,Animal Science,ICAR-National Dairy Research Institute,youtube,https://www.youtube.com/watch?v=em1ERRO3E3A,https://krishi.icar.gov.in/video/watch/3822,Organic fertilizer,Hindi
Educational Film on Tomato Sauce or Ketchup by KVK IVRI Bareilly,Animal Science,ICAR-Indian Veterinary Research Institute,youtube,https://www.youtube.com/watch?v=14F0k606nno,https://krishi.icar.gov.in/video/watch/3821,"Krishi Vigyan Kendra, Tomato sauce",Hindi
How to Make Lemon Pickle by KVK IVRI Bareilly,Animal Science,ICAR-Indian Veterinary Research Institute,youtube,https://www.youtube.com/watch?v=FF7ZIvq1qz4,https://krishi.icar.gov.in/video/watch/3820,"Krishi Vigyan Kendra, Lemon Pickle",Hindi
How to Make Dish Wash at Home by KVK IVRI Bareilly,Animal Science,ICAR-Indian Veterinary Research Institute,youtube,https://www.youtube.com/watch?v=LSSHWUhMNBQ,https://krishi.icar.gov.in/video/watch/3819,"Krishi Vigyan Kendra, Dish wash",Hindi
Educational Video on Aonla Murabba by KVK Bareilly IVRI Izatnagar,Animal Science,ICAR-Indian Veterinary Research Institute,youtube,https://www.youtube.com/watch?v=Z0HntAfslRA,https://krishi.icar.gov.in/video/watch/3818,"Krishi Vigyan Kendra, Aonla",Hindi
Gulfisha Mailk Mahila Krishak KVK IVRI Bareilly,Animal Science,ICAR-Indian Veterinary Research Institute,youtube,https://www.youtube.com/watch?v=0kvYbpLMf0I,https://krishi.icar.gov.in/video/watch/3817,"Veterinary, Livestock, Krishi Vigyan Kendra",Hindi
"Introduction to Rabbitry முயல் வளர்ப்பு ஓர் அறிமுகம் Dr AS Rajendiran ,ICAR-CSWRI",Animal Science,ICAR-Central Sheep and Wool Research Institute,youtube,https://www.youtube.com/watch?v=vblM4xU2mko,https://krishi.icar.gov.in/video/watch/3816,Rabbitry,Malayalam
Pillars of Profitable Rabbitry லாபகரமான முயல் பண்ணையின் 3 தூண்கள்_ Dr. S. J Pandian,Animal Science,ICAR-Central Sheep and Wool Research Institute,youtube,https://www.youtube.com/watch?v=t9ApifjoW9w,https://krishi.icar.gov.in/video/watch/3815,Rabbitry,Tamil
Basic needs for Rabbitry முயல் பண்ணையத்தின் அடிப்படை தேவைகள் _ICAR-CSWRI by Dr S J Pandian in Tamil,Animal Science,ICAR-Central Sheep and Wool Research Institute,youtube,https://www.youtube.com/watch?v=9AWROB5zMQI,https://krishi.icar.gov.in/video/watch/3814,Rabbitary,Tamil
